"Compound";"Code";"site";"Rainfallevent";"conc_water"
"544";"Dimethoat";"CH88";"R";"B";0.00375445954650022
"545";"Dimethoat";"CH72";"F";"B";0.00168427950220826
"546";"Dimethoat";"CH51";"G";"3";0.00123400001704939
"547";"Dimethoat";"CH71";"E";"B";0.00252381643917586
"548";"Dimethoat";"CH21";"A";"2";0.00504509025067649
"549";"Dimethoat";"CH53";"H";"3";0.000265045423484203
"550";"Dimethoat";"CH83";"N";"B";0.00182453017187657
"551";"Dimethoat";"CH43";"A";"3";0.00161144387741193
"552";"Dimethoat";"CH70";"D";"B";0.0103290299004885
"553";"Dimethoat";"CH40";"R";"2";0.00548474675632329
